,,,,
,,,,
Area (ComplexParallel),Time,,Area (ComplexLockBased),Time
2,9.2857,,2,28.14285
4,6.28571,,4,22.142857
20,6.14285,,20,22.14285
90,6.7142857,,90,18.142
150,10.57142,,150,30.57142857
800,6.14285,,800,27.14285714
1600,5.71428,,1600,21.28571429
3200,7.14285,,3200,14.71428571
8000,9.14285,,8000,16.28571429
16000,7.7142857,,16000,12.28571429
32000,8.85714,,32000,13
"64,000",12.7142,,"64,000",12.71428
"120,000",14.71428,,"120,000",15.42857
"320,000",10.857142,,"320,000",13.8571
"540,000",12.8571428,,"540,000",14.71428
2000000,40.14285,,2000000,22
15000000,60.857,,15000000,24.85714
24000000,247.71428,,24000000,175.42
63000000,133.57142,,63000000,77.71428